Crash Number,Date Time,Day Of Week,Object 1,Object 2,Street Number,Steet Name,Cross Street,Location,Latitude,Longitude,Coordinates
26884,04/30/2011 01:30:00 PM,Saturday,Auto,Pedestrian,211,Alewife Brook Pky,,"211 Alewife Brook Pky Cambridge, MA",42.389554,-71.142675,
31485,10/28/2012 12:08:00 PM,Sunday,Taxi,Pedestrian,,MAGAZINE ST,Lawrence St," MAGAZINE ST & Lawrence St Cambridge, MA",42.361939,-71.107973,
26666,10/20/2011 02:45:00 PM,Thursday,Auto,Pedestrian,,Windsor St,Cambridge St," Windsor St & Cambridge St Cambridge, MA",42.37275,-71.093288,
31042,07/21/2012 08:35:00 PM,Saturday,Auto,Pedestrian,215,Alewife Brook Pky,,"215 Alewife Brook Pky Cambridge, MA",42.389388,-71.14282,
26883,12/03/2011 09:34:00 PM,Saturday,MBTA Bus,Pedestrian,,Cambridge St,Warren St," Cambridge St & Warren St Cambridge, MA",42.372102,-71.088276,
30577,04/03/2012 01:40:00 PM,Tuesday,Auto,Pedestrian,,Brookline St,Chestnut St," Brookline St & Chestnut St Cambridge, MA",42.356638,-71.108802,
29701,09/30/2013 04:06:00 PM,Monday,Auto,Pedestrian,,Columbia St,HARVARD SQ," Columbia St & HARVARD SQ Cambridge, MA",42.366993,-71.097861,
29584,09/04/2013 06:07:00 PM,Wednesday,Auto,Pedestrian,,PROSPECT ST,Bishop Allen Dr," PROSPECT ST & Bishop Allen Dr Cambridge, MA",42.366343,-71.10316,
32513,08/10/2014 08:56:00 PM,Sunday,Auto,Pedestrian,,ELM ST,Cambridge St,"ELM ST & Cambridge St Cambridge, MA",42.3730164,-71.0953445,
26553,09/29/2011 12:00:00 AM,Thursday,Auto,Pedestrian,,GREEN ST,Western Ave," GREEN ST & Western Ave Cambridge, MA",42.36527,-71.105023,
33162,12/10/2014 02:18:00 PM,Wednesday,Auto,Pedestrian,,HURON AVE,GROVE AVE,"HURON AVE & GROVE AVE Cambridge, MA",42.3822289,-71.1579361,
25925,05/06/2011 09:00:00 AM,,Truck,Pedestrian,,Windsor St,Broadway," Windsor St & Broadway Cambridge, MA",42.367107,-71.095416,
31650,12/06/2012 02:19:00 PM,,Auto,Pedestrian,200,MAIN ST,,"200 MAIN ST Cambridge, MA",42.36278,-71.091821,
31436,10/16/2012 12:10:00 PM,Tuesday,Auto,Pedestrian,,Massachusetts Ave,DUDLEY ST," Massachusetts Ave & DUDLEY ST Cambridge, MA",42.396635,-71.129385,
26050,05/31/2011 09:24:00 PM,Tuesday,Auto,Pedestrian,,Tremont St,Cambridge St," Tremont St & Cambridge St Cambridge, MA",42.37325,-71.09713,
32088,04/30/2014 10:41:00 AM,Wednesday,Auto,Pedestrian,,OXFORD AVE,EVERETT ST,"OXFORD AVE & EVERETT ST Cambridge, MA",42.3798218,-71.1165085,
